crsp_fundno,caldt,dnav,dret
016417,03/31/2011,105.3002000,0.000300
016417,04/01/2011,104.9843000,-0.000024
016417,04/04/2011,105.1028000,0.001129
016417,04/05/2011,104.8590000,-0.002320
016417,04/06/2011,104.6755000,-0.001750
016417,04/07/2011,104.6985000,0.000220
016417,04/08/2011,104.6662000,-0.000309
016417,04/11/2011,104.7091000,0.000410
016417,04/12/2011,105.0320000,0.003084
016417,04/13/2011,105.2060000,0.001657
016417,04/14/2011,105.1246000,-0.000774
016417,04/15/2011,105.5200000,0.003761
016417,04/18/2011,105.7217000,0.001911
016417,04/19/2011,105.7960000,0.000703
016417,04/20/2011,105.6450000,-0.001427
016417,04/21/2011,105.6333000,-0.000111
016417,04/25/2011,105.8390000,0.001947
016417,04/26/2011,106.0624000,0.002111
016417,04/27/2011,105.8959000,-0.001570
016417,04/28/2011,106.1678000,0.002568
016417,04/29/2011,106.2700000,0.000963
016417,05/02/2011,106.0293000,0.000709
016417,05/03/2011,106.1647000,0.001277
016417,05/04/2011,106.2812000,0.001097
016417,05/05/2011,106.5226000,0.002271
016417,05/06/2011,106.5724000,0.000468
016417,05/09/2011,106.6735000,0.000949
016417,05/10/2011,106.4399000,-0.002190
016417,05/11/2011,106.6258000,0.001747
016417,05/12/2011,106.4522000,-0.001628
016417,05/13/2011,106.6149000,0.001528
016417,05/16/2011,106.8309000,0.002026
016417,05/17/2011,106.9829000,0.001423
016417,05/18/2011,106.7431000,-0.002241
016417,05/19/2011,106.7572000,0.000132
016417,05/20/2011,106.8360000,0.000738
016417,05/23/2011,106.9140000,0.000730
016417,05/24/2011,106.9528000,0.000363
016417,05/25/2011,106.9245000,-0.000265
016417,05/26/2011,107.2477000,0.003023
016417,05/27/2011,107.1996000,-0.000448
016417,05/31/2011,107.3283000,0.001201
016417,06/01/2011,107.3820000,0.003414
016417,06/02/2011,107.0488000,-0.003103
016417,06/03/2011,107.1905000,0.001324
016417,06/06/2011,107.1610000,-0.000275
016417,06/07/2011,107.1959000,0.000326
016417,06/08/2011,107.4222000,0.002111
016417,06/09/2011,107.2070000,-0.002003
016417,06/10/2011,107.2983000,0.000852
016417,06/13/2011,107.2282000,-0.000653
